species,freqsum
Unknown Lymphocryptovirus,3.7999999999999995e-05
Unknown Muromegalovirus,5.9e-05
Unknown Cytomegalovirus,1.5e-05
Unknown Varicellovirus,7.9e-05
Unknown Simplexvirus,1.1e-05
Unknown Unknown Herpesviridae,6.0e-05
Unknown Betaentomopoxvirus,0.00015399999999999998
Unknown Capripoxvirus,1.1e-05
Unknown Avipoxvirus,7.2e-05
Unknown Orthopoxvirus,6.3e-05
Unknown Unknown Poxviridae,0.00016999999999999999
Unknown Unknown Unknown Unknown Unknown Unknown Unknown Viruses,0.009839
Unknown Theileria,0.00041400000000000003
Unknown Plasmodium,0.001819
Unknown Dictyostelium,0.027681
Unknown Debaryomyces,0.001039
Unknown Zygosaccharomyces,0.000458
Unknown Yarrowia,0.001349
Unknown Kluyveromyces,0.00068
Unknown Cryptomonas,0.0027479999999999996
Unknown Carnobacterium,0.0008380000000000001
Unknown Marinobacter,0.038911
Unknown Halanaerobium,0.000686
Unknown Unknown Unknown Thermoplasmatales,0.023687999999999997
Unknown Pyrobaculum,0.001668
Unknown Thermofilum,0.0015850000000000003
Unknown Thermococcus,0.07255
Unknown Pyrococcus,0.010377
Unknown Methanobrevibacter,0.004711000000000001
Unknown Methanobacterium,0.0012369999999999998
Unknown Unknown Unknown Unknown Unknown Unknown Unknown Archaea,0.012199999999999996
Unknown Mycoplasma,0.00040100000000000004
Unknown Gordonia,0.000549
Unknown Streptomyces,0.001145
Unknown Actinoplanes,0.00074
Unknown Frankia,0.012821
Unknown Nocardioides,0.006882
Unknown Mycobacterium,0.002716
Unknown Thermoanaerobacter,0.000352
Unknown Arthrobacter,0.001499
Unknown Listeria,0.000283
Unknown Clostridium,0.0031539999999999997
Unknown Bacillus,0.000523
Unknown Enterococcus,0.000381
Unknown Streptococcus,0.0006370000000000001
Unknown Ruminococcus,0.0007540000000000001
Unknown Leuconostoc,0.000246
Unknown Unknown Unknown Unknown Gammaproteobacteria,0.04830299999999999
Unknown Nitrospira,0.016179000000000002
Unknown Calothrix,0.000858
Unknown Nostoc,0.0014910000000000001
Unknown Anabaena,0.000356
Unknown Pseudanabaena,0.000558
Unknown Synechocystis,0.000589
Unknown Synechococcus,0.009940000000000001
Unknown Unknown Unknown Chroococcales,0.0016240000000000002
Unknown Wolbachia,0.047039000000000004
Unknown Nitrosomonas,0.046697
Unknown Chlamydia,0.000496
Unknown Vibrio,0.001787
Unknown Erwinia,0.0007040000000000001
Unknown Enterobacter,0.0015099999999999998
Unknown Unknown Enterobacteriaceae,0.011125000000000001
Unknown Psychrobacter,0.012590999999999998
Unknown Acinetobacter,0.005436000000000002
Unknown Methylobacterium,0.000925
Unknown Bradyrhizobium,0.003203
Unknown Pseudomonas,0.004971000000000001
Unknown Thermus,0.00065
Unknown Francisella,0.002122
Unknown Alteromonas,0.038208000000000006
Unknown Methylocystis,0.008276
Unknown Hyphomicrobium,0.000695
Unknown Caulobacter,0.0024119999999999996
Unknown Shewanella,0.005704
Unknown Unknown Unknown Unknown Unknown Unknown Unknown Bacteria,0.0048980000000000004
VIRALSTROMATOLITE_SMPL_SRX000221_HBCSTROMBAHAMASVIR011105,1.59444
Azorhizobium caulinodans,0.0007130000000000001
Buchnera aphidicola,0.020391000000000003
[Cellvibrio] gilvus,0.00044699999999999997
Dictyoglomus thermophilum,0.0010680000000000002
Pelobacter carbinolicus,0.001055
Shewanella putrefaciens,0.005192
Myxococcus fulvus,0.004738
Myxococcus xanthus,0.000901
Stigmatella aurantiaca,0.000687
Sorangium cellulosum,0.0066040000000000005
Herpetosiphon aurantiacus,0.001348
Cyclobacterium marinum,0.006063000000000001
Runella slithyformis,0.006077
Spirosoma linguale,0.0009630000000000001
Planctomyces brasiliensis,0.09962600000000002
Planctomyces limnophilus,0.008998999999999997
Pirellula staleyi,0.166122
Isosphaera pallida,0.017930999999999996
Borrelia hermsii,0.0005750000000000001
Borrelia turicatae,0.001048
Spirochaeta thermophila,0.002177
Treponema denticola,0.002565
Brachyspira hyodysenteriae,0.0006150000000000001
Treponema pallidum,0.0038629999999999997
Treponema succinifaciens,0.031662
Leptospira biflexa,0.0017339999999999996
Leptospira interrogans,0.008898000000000001
Leptospira borgpetersenii,0.005699000000000001
Azospirillum brasilense,0.000524
Azospirillum lipoferum,0.001112
Campylobacter coli,0.013345
Campylobacter fetus,0.007704999999999999
Campylobacter jejuni,0.079696
Campylobacter concisus,0.012117999999999997
Campylobacter curvus,0.0037800000000000004
Campylobacter lari,0.010361000000000002
Helicobacter pylori,0.019721000000000002
Helicobacter acinonychis,0.001138
Helicobacter cinaedi,0.06342200000000002
Helicobacter felis,0.0018280000000000002
Helicobacter mustelae,0.007003999999999999
Pseudoalteromonas haloplanktis,0.060683
Francisella tularensis,0.002477
Francisella novicida,0.0039700000000000004
Paracoccus denitrificans,0.0010040000000000001
Thermus thermophilus,0.0037139999999999994
Meiothermus ruber,0.0007830000000000002
Xanthobacter autotrophicus,0.0007149999999999999
Comamonas testosteroni,0.036213
Pseudoalteromonas atlantica,0.017422999999999998
Ralstonia solanacearum,0.005633000000000001
Ralstonia pickettii,0.003488
Burkholderia glumae,0.00095
Xanthomonas campestris,0.0010069999999999999
Xanthomonas oryzae,0.039999
Azotobacter vinelandii,0.001331
Agrobacterium vitis,0.000621
Bradyrhizobium japonicum,0.0013819999999999998
Sinorhizobium fredii,0.003664
Mesorhizobium loti,0.000649
Sinorhizobium meliloti,0.001033
Rhizobium leguminosarum,0.000587
Rhizobium tropici,0.0006410000000000001
Methylobacillus flagellatus,0.00121
Methylococcus capsulatus,0.012755000000000002
Methylomonas methanica,0.024773000000000003
Acetobacter pasteurianus,0.033923999999999996
Gluconobacter oxydans,0.00464
Legionella pneumophila,0.018897
Legionella longbeachae,0.001373
Moraxella catarrhalis,0.005462000000000001
Neisseria gonorrhoeae,0.001417
Neisseria lactamica,0.0005539999999999999
Neisseria meningitidis,0.005684
Thermomicrobium roseum,0.037186
Bordetella bronchiseptica,0.001231
Bordetella pertussis,0.001763
Bordetella avium,0.0013310000000000002
Acidiphilium cryptum,0.0013870000000000002
Ochrobactrum anthropi,0.000552
Beijerinckia indica,0.000769
Chromobacterium violaceum,0.000931
Zymomonas mobilis,0.008433999999999997
Citrobacter koseri,0.000885
Enterobacter aerogenes,0.000804
Erwinia amylovora,0.000792
Pantoea ananatis,0.000849
Pectobacterium carotovorum,0.0007180000000000001
Escherichia coli,0.021442
Shimwellia blattae,0.00081
Escherichia fergusonii,0.000972
Klebsiella oxytoca,0.00084
Klebsiella pneumoniae,0.000831
Morganella morganii,0.0007459999999999999
Proteus mirabilis,0.001485
Providencia stuartii,0.000771
Serratia liquefaciens,0.0008550000000000001
Serratia marcescens,0.001676
Shigella boydii,0.002682
Shigella dysenteriae,0.009900000000000003
Shigella flexneri,0.001083
Shigella sonnei,0.000857
Xenorhabdus nematophila,0.00165
Yersinia enterocolitica,0.00145
Yersinia pestis,0.0019140000000000001
Yersinia pseudotuberculosis,0.000648
Edwardsiella tarda,0.0008680000000000001
Aeromonas hydrophila,0.000784
Aeromonas salmonicida,0.0008969999999999999
Aeromonas veronii,0.0019940000000000005
Vibrio cholerae,0.000684
Aliivibrio fischeri,0.000926
Vibrio vulnificus,0.00094
Aggregatibacter actinomycetemcomitans,0.002566
Actinobacillus pleuropneumoniae,0.001509
Actinobacillus suis,0.000747
Haemophilus influenzae,0.008576
Haemophilus parainfluenzae,0.000624
Haemophilus ducreyi,0.000689
Histophilus somni,0.0019119999999999999
Aggregatibacter aphrophilus,0.000622
Haemophilus parasuis,0.00144
Pasteurella multocida,0.001659
Gallibacterium anatis,0.000514
Anaplasma centrale,0.000662
Anaplasma marginale,0.000566
Bartonella bacilliformis,0.00053
Coxiella burnetii,0.0036430000000000004
Orientia tsutsugamushi,0.026639
Bartonella quintana,0.0007240000000000001
Bacteroides fragilis,0.001549
Bacteroides thetaiotaomicron,0.0029820000000000003
Bacteroides vulgatus,0.00265
Parabacteroides distasonis,0.011292000000000002
Sebaldella termitidis,0.000532
Butyrivibrio fibrisolvens,0.0005319999999999999
Fibrobacter succinogenes,0.027757999999999998
Porphyromonas gingivalis,0.030510999999999996
Prevotella ruminicola,0.002999
Wolinella succinogenes,0.004604999999999999
Fusobacterium nucleatum,0.004293
Faecalibacterium prausnitzii,0.012461999999999999
Syntrophomonas wolfei,0.0017299999999999998
Dichelobacter nodosus,0.000947
Desulfovibrio africanus,0.000464
Desulfovibrio desulfuricans,0.002171
Desulfovibrio gigas,0.00045799999999999997
Desulfovibrio salexigens,0.00063
Desulfovibrio vulgaris,0.001023
Desulfobulbus propionicus,0.0007469999999999999
Desulfomicrobium baculatum,0.0007769999999999999
Acidaminococcus fermentans,0.000646
Megasphaera elsdenii,0.0006810000000000001
Nitrobacter hamburgensis,0.002922
Nitrobacter winogradskyi,0.002917999999999999
Nitrosomonas europaea,0.017838
Nitrosomonas eutropha,0.005627
Acidithiobacillus ferrooxidans,0.024737999999999996
Starkeya novella,0.0008880000000000001
Thiomonas intermedia,0.002282
Halothiobacillus neapolitanus,0.013399
Hydrogenobacter thermophilus,0.00349
Neorickettsia sennetsu,0.0014889999999999999
Bdellovibrio bacteriovorus,0.004234000000000001
Herbaspirillum seropedicae,0.000853
Selenomonas ruminantium,0.0005540000000000001
Cellulophaga lytica,0.006900000000000002
Pedobacter heparinus,0.000966
Cytophaga hutchinsonii,0.0015660000000000001
Flavobacterium johnsoniae,0.0007660000000000001
Solitalea canadensis,0.0007469999999999999
Flavobacterium columnare,0.029525
Flexibacter litoralis,0.158588
Marivirga tractuosa,0.015111999999999999
Saprospira grandis,0.14526499999999998
Weeksella virosa,0.01111
Capnocytophaga ochracea,0.002924999999999999
Allochromatium vinosum,0.003849000000000001
Halorhodospira halophila,0.003108
Rhodobacter capsulatus,0.000543
Rhodobacter sphaeroides,0.00157
Rhodomicrobium vannielii,0.0005160000000000001
Rhodopseudomonas palustris,0.005437
Rhodospirillum photometricum,0.000438
Rhodospirillum rubrum,0.0006100000000000001
Chlorobium limicola,0.00091
Chlorobium phaeovibrioides,0.003907
Chlorobium phaeobacteroides,0.12968100000000002
Chlorobaculum tepidum,0.001002
Pelodictyon luteolum,0.0009510000000000001
Prosthecochloris aestuarii,0.000951
Chloroflexus aurantiacus,0.000704
Microcystis aeruginosa,0.074799
Trichormus azollae,0.001639
Anabaena cylindrica,0.0007840000000000001
Anabaena variabilis,0.000406
Trichodesmium erythraeum,0.003712
Prochlorococcus marinus,0.027055
Nitrosococcus oceani,0.004805
Nitrosospira multiformis,0.006243000000000001
Leuconostoc gelidum,0.000395
Leuconostoc mesenteroides,0.000839
Oenococcus oeni,0.000555
Leuconostoc carnosum,0.000337
Pediococcus pentosaceus,0.00034
Finegoldia magna,0.0004670000000000001
Ruminococcus albus,0.000794
Micrococcus luteus,0.001183
Kytococcus sedentarius,0.000961
Staphylococcus aureus,0.00348
Staphylococcus carnosus,0.000419
Staphylococcus epidermidis,0.0007570000000000001
Staphylococcus haemolyticus,0.00035500000000000006
Staphylococcus warneri,0.00034
Deinococcus radiodurans,0.000702
Streptococcus gordonii,0.00038199999999999996
Streptococcus oralis,0.00028100000000000005
Streptococcus salivarius,0.001678
Streptococcus sanguinis,0.000301
Streptococcus suis,0.0015079999999999998
Streptococcus thermophilus,0.002004
Streptococcus mutans,0.000235
Streptococcus agalactiae,0.001944
Streptococcus pneumoniae,0.0024950000000000003
Streptococcus pyogenes,0.0039970000000000006
Streptococcus parasanguinis,0.000646
Streptococcus iniae,0.00030000000000000003
Streptococcus parauberis,0.00028700000000000004
Streptococcus uberis,0.00022899999999999998
Enterococcus faecalis,0.0018470000000000001
Enterococcus faecium,0.00142
Enterococcus hirae,0.000313
Lactococcus lactis,0.0029799999999999996
Lactococcus garvieae,0.000232
Aerococcus urinae,0.000462
Atopobium parvulum,0.000333
Brevibacillus brevis,0.000464
Bacillus coagulans,0.0010630000000000001
Bacillus megaterium,0.001307
Paenibacillus polymyxa,0.00084
Bacillus pumilus,0.000567
Bacillus cellulosilyticus,0.00044500000000000003
Lysinibacillus sphaericus,0.000356
Geobacillus thermoglucosidasius,0.000474
Amphibacillus xylanus,0.00029000000000000006
Geobacillus kaustophilus,0.000443
Clostridium acetobutylicum,0.000527
Clostridium botulinum,0.004051
Clostridium cellulovorans,0.000427
[Clostridium] difficile,0.000581
Clostridium pasteurianum,0.000338
Clostridium perfringens,0.001406
[Clostridium] stercorarium,0.00040100000000000004
Clostridium tetani,0.000528
Clostridium thermocellum,0.001351
Thermoanaerobacterium thermosaccharolyticum,0.0006900000000000001
Clostridium beijerinckii,0.00058
Clostridium cellulolyticum,0.000373
Moorella thermoacetica,0.0014060000000000001
Clostridium kluyveri,0.00036
Clostridium ljungdahlii,0.000487
Clostridium novyi,0.000487
Clostridium acidurici,0.000455
Desulfosporosinus orientis,0.005786
Desulfotomaculum ruminis,0.00036300000000000004
Halobacillus halophilus,0.000519
Leifsonia xyli,0.0014959999999999997
Lactobacillus acidophilus,0.0005870000000000001
Lactobacillus brevis,0.0009869999999999998
Lactobacillus buchneri,0.001048
Lactobacillus delbrueckii,0.0005570000000000001
Lactobacillus helveticus,0.0016479999999999997
Lactobacillus plantarum,0.0015819999999999999
Lactobacillus gasseri,0.000315
Lactobacillus reuteri,0.00172
Lactobacillus sakei,0.000371
Lactobacillus amylovorus,0.000561
Lactobacillus fermentum,0.002576
Lactobacillus ruminis,0.000328
Lactobacillus salivarius,0.00035700000000000006
Lactobacillus sanfranciscensis,0.001128
Listeria ivanovii,0.000271
Listeria seeligeri,0.000267
Listeria innocua,0.000301
Listeria welshimeri,0.000297
Renibacterium salmoninarum,0.001267
Erysipelothrix rhusiopathiae,0.000252
Bifidobacterium adolescentis,0.000455
Bifidobacterium bifidum,0.0005860000000000001
Bifidobacterium asteroides,0.0005020000000000001
Bifidobacterium breve,0.0011419999999999998
Bifidobacterium dentium,0.000618
Cellulomonas fimi,0.000407
Cellulomonas flavigena,0.000571
Corynebacterium diphtheriae,0.001979
Corynebacterium glutamicum,0.001406
Corynebacterium pseudotuberculosis,0.000487
Corynebacterium callunae,0.0006680000000000001
Corynebacterium variabile,0.0015909999999999997
Eubacterium limosum,0.0007840000000000001
Propionibacterium freudenreichii,0.001154
Propionibacterium acnes,0.0006280000000000001
Propionibacterium acidipropionici,0.000845
Propionibacterium propionicum,0.000483
Mycobacterium leprae,0.000302
Mycobacterium smegmatis,0.004327999999999999
Mycobacterium marinum,0.000455
Mycobacterium chubuense,0.000621
Mycobacterium gilvum,0.001896
Mycobacterium ulcerans,0.00051
Rhodococcus erythropolis,0.00078
Saccharopolyspora erythraea,0.0010680000000000002
Saccharomonospora viridis,0.0014010000000000003
Frankia alni,0.000371
Geodermatophilus obscurus,0.0004930000000000001
Actinoplanes missouriensis,0.0003800000000000001
Streptomyces albus,0.0005809999999999999
Streptomyces coelicolor,0.0005690000000000001
Streptomyces hygroscopicus,0.000453
Streptomyces scabiei,0.000556
Streptosporangium roseum,0.0005030000000000001
Thermobispora bispora,0.000735
Nocardiopsis dassonvillei,0.00046400000000000006
Thermomonospora curvata,0.00058
Thermobifida fusca,0.000358
Microbacterium testaceum,0.000616
Tropheryma whipplei,0.009064000000000001
Rothia dentocariosa,0.00046600000000000005
Mobiluncus curtisii,0.001023
Gordonia bronchialis,0.000454
Sphaerobacter thermophilus,0.109687
Tsukamurella paurometabola,0.0006569999999999999
Kitasatospora setae,0.000579
Mycoplasma gallisepticum,0.000516
Mycoplasma genitalium,0.000167
Mycoplasma hominis,0.00025000000000000006
Mycoplasma hyopneumoniae,0.0010179999999999998
Mycoplasma hyorhinis,0.008263999999999999
Mycoplasma pneumoniae,0.000151
Mycoplasma pulmonis,0.000202
Mycoplasma synoviae,0.000161
Mycoplasma agalactiae,0.00035600000000000003
Mycoplasma arthritidis,0.0011370000000000004
Mycoplasma fermentans,0.021513
Mycoplasma mobile,0.00029200000000000005
Mycoplasma putrefaciens,0.004497999999999999
Ureaplasma urealyticum,0.000267
Spiroplasma taiwanense,0.000469
Acholeplasma laidlawii,0.000387
Mesoplasma florum,0.000885
Methanobrevibacter smithii,0.0028170000000000005
Methanohalophilus mahii,0.000491
Methanothermus fervidus,0.001219
Methanococcus vannielii,0.008979
Methanococcus voltae,0.001348
Methanotorris igneus,0.042113000000000005
Methanocaldococcus jannaschii,0.033629000000000006
Methanoculleus marisnigri,0.00035400000000000004
Methanospirillum hungatei,0.036305
Methanosarcina barkeri,0.0006299999999999999
Methanosarcina mazei,0.001093
Methanosarcina acetivorans,0.005300999999999999
Methanosaeta concilii,0.015418999999999997
Methanosaeta thermophila,0.000456
Archaeoglobus fulgidus,0.005339000000000001
Haloarcula marismortui,0.000819
Halobacterium salinarum,0.00104
Haloferax volcanii,0.001566
Halorubrum lacusprofundi,0.00051
Haloferax mediterranei,0.001448
Natronomonas pharaonis,0.000572
Pyrococcus furiosus,0.001817
Thermococcus litoralis,0.0031239999999999996
Thermofilum pendens,0.001934
Thermoproteus tenax,0.0014070000000000003
Desulfurococcus mucosus,0.0027680000000000005
Pyrobaculum islandicum,0.0014690000000000003
Staphylothermus marinus,0.022622
Sulfolobus acidocaldarius,0.005257999999999999
Sulfolobus solfataricus,0.003287
Desulfobacterium autotrophicum,0.008001999999999999
Thermoplasma acidophilum,0.0022199999999999998
Methanosphaera stadtmanae,0.003304
Methanopyrus kandleri,0.0015620000000000002
Methanohalobium evestigatum,0.00057
Halanaerobium praevalens,0.001268
Thermotoga maritima,0.000777
Thermotoga neapolitana,0.000791
Haliscomenobacter hydrossis,0.010195999999999997
Flexistipes sinusarabici,0.08186199999999999
Desulfomonile tiedjei,0.015988999999999996
Xylella fastidiosa,0.003457
Thermosipho africanus,0.005876
Fervidobacterium nodosum,0.0005610000000000001
Teredinibacter turnerae,0.000739
Roseobacter denitrificans,0.009515
Gardnerella vaginalis,0.0009350000000000001
Hirschia baltica,0.001231
Symbiobacterium thermophilum,0.00039000000000000005
Marinobacter hydrocarbonoclasticus,0.017528000000000002
Halomonas elongata,0.005203
Carnobacterium maltaromaticum,0.000407
Phaeodactylum tricornutum,0.030539000000000004
Schizosaccharomyces pombe,0.000545
Scheffersomyces stipitis,0.0011920000000000001
Saccharomyces cerevisiae,0.0015159999999999998
Lachancea kluyveri,0.000761
Cryptococcus neoformans,0.002262
Candida albicans,0.00101
Fusarium oxysporum,0.011302
Fusarium graminearum,0.0021599999999999996
Trypanosoma brucei,0.00549
Cryptosporidium parvum,0.007937
Plasmodium falciparum,0.000345
Plasmodium knowlesi,0.000184
Plasmodium vivax,0.0019070000000000005
Theileria annulata,0.000252
Theileria parva,0.000265
Encephalitozoon cuniculi,0.001921
Natrialba magadii,0.0030380000000000003
Pyrobaculum aerophilum,0.000597
Naumovozyma castellii,0.0006320000000000001
Naumovozyma dairenensis,0.002756
Bifidobacterium animalis,0.000432
Staphylococcus lugdunensis,0.000363
Streptococcus mitis,0.00026700000000000004
Acidothermus cellulolyticus,0.0006259999999999999
Rubrivivax gelatinosus,0.000949
Burkholderia gladioli,0.001111
Alteromonas macleodii,0.5518380000000002
Francisella philomiragia,0.002189
Tannerella forsythia,0.005401
Odoribacter splanchnicus,0.004857000000000001
Porphyromonas asaccharolytica,0.0020480000000000003
Prevotella denticola,0.010002999999999998
Prevotella intermedia,0.006319000000000002
Prevotella melaninogenica,0.008152
Cronobacter sakazakii,0.000852
Serratia proteamaculans,0.00085
Acetohalobium arabaticum,0.0006340000000000001
Capnocytophaga canimorsus,0.006619000000000001
Arcobacter butzleri,0.020371000000000004
Arcobacter nitrofigilis,0.001956
Desulfobacula toluolica,0.204228
Mycoplasma penetrans,0.000293
Colwellia psychrerythraea,0.032996000000000004
Geobacter metallireducens,0.002755
Ornithobacterium rhinotracheale,0.06185000000000001
Thermodesulfovibrio yellowstonii,0.004727
Arcanobacterium haemolyticum,0.000576
Clavibacter michiganensis,0.001533
Gluconacetobacter xylinus,0.002209
Thermoanaerobacterium saccharolyticum,0.000343
Salmonella enterica,0.0021520000000000003
Mycoplasma bovis,0.0019050000000000002
Neospora caninum,0.007867000000000002
Natronococcus occultus,0.005706
Methanococcoides burtonii,0.01414
Pyrococcus abyssi,0.010679
Streptomyces cattleya,0.000459
Thermoanaerobacterium xylanolyticum,0.00038899999999999997
Cellulosilyticum lentocellum,0.000477
Staphylococcus saprophyticus,0.00039099999999999996
Microlunatus phosphovorus,0.0006370000000000001
Xanthomonas albilineans,0.000971
Rhizobium etli,0.0005390000000000001
Brucella suis,0.000672
Veillonella parvula,0.0006500000000000001
Pectobacterium atrosepticum,0.0007800000000000001
Photorhabdus luminescens,0.000569
Vibrio furnissii,0.000714
Vibrio splendidus,0.000941
Mycoplasma haemofelis,0.00023400000000000002
Turneriella parva,0.03989399999999999
Borrelia crocidurae,0.000385
Pelobacter propionicus,0.0020700000000000002
Lawsonia intracellularis,0.018419000000000005
Rhodothermus marinus,0.026017000000000005
Taylorella equigenitalis,0.0031519999999999994
Caldicellulosiruptor bescii,0.0013009999999999999
Halothermothrix orenii,0.00039200000000000004
Amycolatopsis orientalis,0.000557
Methylobacterium radiotolerans,0.0006870000000000001
Helicobacter hepaticus,0.0225
Synechococcus elongatus,0.00042100000000000004
Calothrix parietina,0.0005139999999999999
Propionibacterium avidum,0.0006270000000000001
Anaerococcus prevotii,0.000755
[Ruminococcus] torques,0.001717
Bartonella grahamii,0.000504
Bartonella vinsonii,0.0005459999999999999
Candidatus Kinetoplastibacterium crithidii,0.042337
Acidithiobacillus caldus,0.08180199999999999
Gloeobacter violaceus,0.0008759999999999999
Acidobacterium capsulatum,0.000831
Eremothecium gossypii,0.00053
Coriobacterium glomerans,0.00033099999999999997
Streptomyces avermitilis,0.00048100000000000004
Bifidobacterium thermophilum,0.000585
Amycolatopsis mediterranei,0.00049
Anoxybacillus flavithermus,0.00036300000000000004
Geobacillus thermodenitrificans,0.000458
Geobacillus thermoleovorans,0.00035299999999999996
Kyrpidia tusciae,0.0019720000000000002
Acetobacterium woodii,0.00037700000000000006
Lactobacillus johnsonii,0.0009570000000000001
Leuconostoc citreum,0.00038
Melissococcus plutonius,0.00038500000000000003
Gluconacetobacter diazotrophicus,0.000929
Paracoccus aminophilus,0.0030760000000000006
Rhodospirillum centenum,0.000858
Candidatus Liberibacter asiaticus,0.001583
Leptothrix cholodnii,0.0015629999999999997
Rahnella aquatilis,0.0008020000000000001
Variovorax paradoxus,0.0019660000000000003
Riemerella anatipestifer,0.008126999999999999
Pelodictyon phaeoclathratiforme,0.07282000000000001
Streptobacillus moniliformis,0.00063
