pfam	count
Mur ligase middle domain(PF08245)	34527
DctM-like transporters(PF06808)	34265
IMP dehydrogenase / GMP reducta...(PF00478)	34059
tRNA synthetases class II (D, K...(PF00152)	33924
Subtilase family(PF00082)	32790
EPSP synthase (3-phosphoshikima...(PF00275)	32732
Bacterial transferase hexapepti...(PF00132)	32241
Ammonium Transporter Family(PF00909)	31745
Amidase(PF01425)	31674
Sulfate transporter family(PF00916)	31054
Protein kinase domain(PF00069)	30506
Enoyl-(Acyl carrier protein) re...(PF13561)	30083
Glycosyl transferase family 2(PF00535)	29947
Isocitrate/isopropylmalate dehy...(PF00180)	29900
Branched-chain amino acid trans...(PF02653)	29754
tRNA synthetases class I (E and...(PF00749)	29568
Penicillin binding protein tran...(PF00905)	29413
Histidine biosynthesis protein(PF00977)	29362
Rhodanese-like domain(PF00581)	29277
Citrate transporter(PF03600)	29165
NADH dehydrogenase(PF00146)	29044
MORN repeat(PF02493)	27921
Transketolase, thiamine diphosp...(PF00456)	27595
tRNA synthetases class I (W and...(PF00579)	27450
Carboxyl transferase domain(PF01039)	27432
Phage integrase family(PF00589)	27342
SRP54-type protein, GTPase doma...(PF00448)	27318
MMPL family(PF03176)	27231
tRNA synthetase class II core d...(PF00587)	26754
Phosphate transporter family(PF01384)	26682
Pentapeptide repeats (8 copies)...(PF00805)	26448
CBS domain(PF00571)	26063
3-octaprenyl-4-hydroxybenzoate ...(PF01977)	25999
DNA gyrase/topoisomerase IV, su...(PF00521)	25959
Glycine cleavage system P-prote...(PF02347)	25718
Serine hydroxymethyltransferase...(PF00464)	25577
RNA pseudouridylate synthase(PF00849)	25019
Cytochrome C assembly protein(PF01578)	24835
Transketolase, pyrimidine bindi...(PF02779)	24727
Conserved region in glutamate s...(PF01645)	24426
Aldo/keto reductase family(PF00248)	24418
AhpC/TSA family(PF00578)	24385
Anticodon-binding domain of tRN...(PF08264)	24349
Polyprenyl synthetase(PF00348)	24195
Zinc-binding dehydrogenase(PF00107)	24146
Cys/Met metabolism PLP-dependen...(PF01053)	23973
RNA polymerase Rpb2, domain 6(PF00562)	23784
NAD synthase(PF02540)	23553
AIR synthase related protein, N...(PF00586)	23430
Adenylosuccinate synthetase(PF00709)	23317
Protein of unknown function (DU...(PF07394)	23306
Sodium:solute symporter family(PF00474)	23294
CobQ/CobB/MinD/ParA nucleotide ...(PF01656)	23289
SIS domain(PF01380)	23182
SPFH domain / Band 7 family(PF01145)	23064
Haloacid dehalogenase-like hydr...(PF13419)	22972
pfkB family carbohydrate kinase...(PF00294)	22912
NUDIX domain(PF00293)	22906
Aminotransferase class IV(PF01063)	22901
Elongation factor Tu domain 2(PF03144)	22673
Scaffold protein B(PF02304)	22653
S1 RNA binding domain(PF00575)	22578
Terminase-like family(PF03237)	22576
HMGL-like(PF00682)	22414
Repeat domain in Vibrio, Colwel...(PF13517)	22366
Glucose / Sorbosone dehydrogena...(PF07995)	22319
Dihydrouridine synthase (Dus)(PF01207)	22307
Molybdopterin oxidoreductase(PF00384)	22266
Histidinol dehydrogenase(PF00815)	22164
RecF/RecN/SMC N terminal domain...(PF02463)	22129
ABC-2 type transporter(PF01061)	22112
Peptidase family M48(PF01435)	22101
Chorismate synthase(PF01264)	22095
Beta-ketoacyl synthase, N-termi...(PF00109)	21884
Cell cycle protein(PF01098)	21824
HhH-GPD superfamily base excisi...(PF00730)	21646
Glutamine synthetase, catalytic...(PF00120)	21601
Citrate synthase(PF00285)	21373
Dihydroorotate dehydrogenase(PF01180)	21277
ABC transporter transmembrane r...(PF00664)	21036
Phage terminase large subunit(PF04466)	20964
Integrase core domain(PF00665)	20882
Phosphoribosyl transferase doma...(PF00156)	20810
Formyl transferase(PF00551)	20663
DnaB-like helicase C terminal d...(PF03796)	20536
Glutamine amidotransferases cla...(PF00310)	20522
Thiamine pyrophosphate enzyme, ...(PF02775)	20489
Sodium/hydrogen exchanger famil...(PF00999)	20404
ThiC family(PF01964)	20205
Reverse transcriptase (RNA-depe...(PF00078)	20112
tRNA synthetases class I (M)(PF09334)	20093
Sulfatase-modifying factor enzy...(PF03781)	19974
RNA polymerase Rpb1, domain 5(PF04998)	19874
Enoyl-CoA hydratase/isomerase f...(PF00378)	19757
Peptidase family M20/M25/M40(PF01546)	19725
Alcohol dehydrogenase GroES-lik...(PF08240)	19539
Glycosyl transferases group 1(PF00534)	19356
Collagen triple helix repeat (2...(PF01391)	19343
RF-1 domain(PF00472)	19320
Peptidase family M50(PF02163)	19183
Thiolase, N-terminal domain(PF00108)	19143
Arginosuccinate synthase(PF00764)	19136
Alpha/beta hydrolase family(PF12697)	18908
Aspartate/ornithine carbamoyltr...(PF00185)	18775
Na+-transporting oxaloacetate d...(PF03977)	18749
Ribonucleotide reductase, small...(PF00268)	18532
MreB/Mbl protein(PF06723)	18516
tRNA synthetases class II (A)(PF01411)	18410
CDP-alcohol phosphatidyltransfe...(PF01066)	18335
Glycoprotease family(PF00814)	18313
Cytidine and deoxycytidylate de...(PF00383)	18193
Type II/IV secretion system pro...(PF00437)	18165
Cytochrome b(N-terminal)/b6/pet...(PF13631)	18161
recA bacterial DNA recombinatio...(PF00154)	18114
Chromate transporter(PF02417)	18108
chorismate binding enzyme(PF00425)	18038
Carbamoyl-phosphate synthase L ...(PF00289)	17988
Aminomethyltransferase folate-b...(PF01571)	17875
SecY translocase(PF00344)	17732
Thiamine pyrophosphate enzyme, ...(PF02776)	17664
CoA-ligase(PF00549)	17624
ABC 3 transport family(PF00950)	17533
Cytochrome c oxidase subunit II...(PF00510)	17466
FAD binding domain(PF01494)	17392
AAA domain (Cdc48 subfamily)(PF07724)	17373
Flavoprotein(PF02441)	17357
Ketopantoate hydroxymethyltrans...(PF02548)	17271
Protein export membrane protein...(PF02355)	17025
Glycosyl transferase family, a/...(PF00591)	16998
FAD binding domain (PF01565)	16950
Methylmalonyl-CoA mutase(PF01642)	16834
Protein of unknown function (DU...(PF04412)	16824
AAA domain(PF13304)	16741
Calcineurin-like phosphoesteras...(PF00149)	16708
RNB domain(PF00773)	16675
Cytosol aminopeptidase family, ...(PF00883)	16656
AIR carboxylase(PF00731)	16557
D-isomer specific 2-hydroxyacid...(PF00389)	16485
Bacterial extracellular solute-...(PF00496)	16423
Putative modulator of DNA gyras...(PF01523)	16234
Pterin binding enzyme(PF00809)	16215
Inositol monophosphatase family...(PF00459)	16174
GatB/GatE catalytic domain(PF02934)	16154
UvrD/REP helicase N-terminal do...(PF00580)	16116
Respiratory-chain NADH dehydrog...(PF00346)	16071
Mechanosensitive ion channel(PF00924)	16044
tRNA synthetases class I (R)(PF00750)	16012
Queuine tRNA-ribosyltransferase...(PF01702)	15958
NQR2, RnfD, RnfE family(PF03116)	15809
Luciferase-like monooxygenase(PF00296)	15781
CTP synthase N-terminus(PF06418)	15750
Semialdehyde dehydrogenase, dim...(PF02774)	15709
Enolase, C-terminal TIM barrel ...(PF00113)	15591
3' exoribonuclease family, doma...(PF01138)	15581
Amidohydrolase(PF13147)	15572
Monomeric isocitrate dehydrogen...(PF03971)	15511
UvrD-like helicase C-terminal d...(PF13361)	15492
Polysaccharide biosynthesis pro...(PF02719)	15350
Exonuclease(PF00929)	15280
Sulfite exporter TauE/SafE(PF01925)	15218
S-adenosyl-L-homocysteine hydro...(PF05221)	15162
Cytidylyltransferase(PF01467)	15087
Rnf-Nqr subunit, membrane prote...(PF02508)	15080
DAHP synthetase I family(PF00793)	15022
Bacterial DNA polymerase III al...(PF07733)	14974
Cation transport protein(PF02386)	14820
Methyltransferase domain(PF13489)	14797
EamA-like transporter family(PF00892)	14795
Aspartate/ornithine carbamoyltr...(PF02729)	14784
Molybdopterin-binding domain of...(PF02738)	14728
Quinolinate synthetase A protei...(PF02445)	14692
Beta-ketoacyl synthase, C-termi...(PF02801)	14676
Glycyl-tRNA synthetase beta sub...(PF02092)	14669
FAD linked oxidases, C-terminal...(PF02913)	14588
Tetrahydrofolate dehydrogenase/...(PF02882)	14549
Histidyl-tRNA synthetase(PF13393)	14477
Cytidylyltransferase(PF02348)	14332
Asparagine synthase(PF00733)	14307
NADH-ubiquinone/plastoquinone o...(PF00499)	14257
Mur ligase family, glutamate li...(PF02875)	14218
Uncharacterized protein family ...(PF01458)	14204
Cytochrome oxidase assembly pro...(PF02628)	14112
SAICAR synthetase(PF01259)	14023
GXGXG motif(PF01493)	13998
Glycosyl transferase family 4(PF00953)	13991
Homocysteine S-methyltransferas...(PF02574)	13810
NADH ubiquinone oxidoreductase,...(PF01058)	13738
Thiazole biosynthesis protein T...(PF05690)	13735
SpoU rRNA Methylase family(PF00588)	13732
FKBP-type peptidyl-prolyl cis-t...(PF00254)	13726
RNA polymerase Rpb1, domain 1(PF04997)	13711
GcpE protein(PF04551)	13691
Cysteine-rich domain(PF02754)	13606
Glycosyl hydrolase family 3 N t...(PF00933)	13548
Transketolase, C-terminal domai...(PF02780)	13492
WD domain, G-beta repeat(PF00400)	13480
Tryptophan synthase alpha chain...(PF00290)	13451
Delta-aminolevulinic acid dehyd...(PF00490)	13423
Mycoplasma protein of unknown f...(PF03382)	13378
Cyclophilin type peptidyl-proly...(PF00160)	13292
MviN-like protein(PF03023)	13168
Biotin-requiring enzyme(PF00364)	13146
Single-strand binding protein f...(PF00436)	13087
Nitrite/Sulfite reductase ferre...(PF03460)	13049
AMP-binding enzyme C-terminal d...(PF13193)	13019
Phosphoglycerate kinase(PF00162)	13017
Prolipoprotein diacylglyceryl t...(PF01790)	13016
FtsK/SpoIIIE family(PF01580)	13015
Arginase family(PF00491)	12985
Glucose inhibited division prot...(PF01134)	12961
Acyl-CoA dehydrogenase, C-termi...(PF00441)	12863
Oxidoreductase family, NAD-bind...(PF01408)	12862
Thiolase, C-terminal domain(PF02803)	12823
Sodium/calcium exchanger protei...(PF01699)	12820
CobB/CobQ-like glutamine amidot...(PF13507)	12820
Transcription factor TFIIB repe...(PF00382)	12805
Probable molybdopterin binding ...(PF00994)	12798
Dihydrodipicolinate synthetase ...(PF00701)	12789
Polysulphide reductase, NrfD(PF03916)	12754
AICARFT/IMPCHase bienzyme(PF01808)	12751
Uncharacterised protein family ...(PF03702)	12616
Uroporphyrinogen decarboxylase ...(PF01208)	12595
Cytochrome C oxidase, cbb3-type...(PF13442)	12592
Thymidylate synthase(PF00303)	12461
MobA-like NTP transferase domai...(PF12804)	12461
Type III restriction enzyme, re...(PF04851)	12460
ATP-NAD kinase(PF01513)	12436
Metalloenzyme superfamily(PF01676)	12373
Rieske [2Fe-2S] domain(PF00355)	12356
Uncharacterized ACR, YdiU/UPF00...(PF02696)	12356
Peptidase family M3(PF01432)	12348
Sulfate transporter N-terminal ...(PF13792)	12328
Aconitase C-terminal domain(PF00694)	12281
Multicopper oxidase(PF07732)	12207
DNA polymerase III, delta subun...(PF13177)	12195
Toprim domain(PF01751)	12119
MacB-like periplasmic core doma...(PF12704)	12038
Pyridine nucleotide-disulphide ...(PF02852)	11989
Anticodon binding domain(PF03129)	11874
Proteasome subunit(PF00227)	11710
DNA topoisomerase(PF01131)	11706
Sec-independent protein translo...(PF00902)	11606
Peptidase family M1(PF01433)	11606
HD domain(PF01966)	11574
Leucine rich repeat(PF13855)	11567
4Fe-4S dicluster domain(PF13183)	11499
Protein-L-isoaspartate(D-aspart...(PF01135)	11486
DNA gyrase C-terminal domain, b...(PF03989)	11484
Protein of unknown function (DU...(PF07556)	11473
3'-5' exonuclease(PF01612)	11387
Acyl transferase domain(PF00698)	11245
tRNA synthetases class I (C) ca...(PF01406)	11242
Endonuclease/Exonuclease/phosph...(PF03372)	11231
ThiF family(PF00899)	11186
LytB protein(PF02401)	11110
MgsA AAA+ ATPase C terminal(PF12002)	11102
Transcriptional regulator(PF01709)	11094
PhoH-like protein(PF02562)	10988
Carbon-nitrogen hydrolase(PF00795)	10986
Phosphoenolpyruvate carboxykina...(PF01293)	10972
Alanine racemase, N-terminal do...(PF01168)	10969
Fumarate reductase flavoprotein...(PF02910)	10919
Initiation factor 2 subunit fam...(PF01008)	10878
PKD domain(PF00801)	10677
4Fe-4S dicluster domain(PF12838)	10650
SNF2 family N-terminal domain(PF00176)	10614
TatD related DNase(PF01026)	10608
UDP-glucose/GDP-mannose dehydro...(PF03721)	10558
Phosphoribosylglycinamide synth...(PF01071)	10485
Phosphoglucomutase/phosphomanno...(PF02878)	10478
Queuosine biosynthesis protein(PF02547)	10446
Triosephosphate isomerase(PF00121)	10442
Amino acid permease(PF13520)	10437
tRNA methyl transferase(PF03054)	10435
Semialdehyde dehydrogenase, NAD...(PF01118)	10423
Uncharacterised protein family ...(PF03699)	10421
Putative flagellar system-assoc...(PF13753)	10405
HlyD family secretion protein(PF12700)	10398
HYR domain(PF02494)	10359
SprB repeat(PF13573)	10341
Alanine dehydrogenase/PNT, C-te...(PF01262)	10340
Telomere recombination(PF01300)	10307
Phage protein C(PF12025)	10288
Cytochrome C biogenesis protein...(PF02683)	10276
Elongation factor G C-terminus(PF00679)	10239
ATP-sulfurylase(PF01747)	10230
Calcineurin-like phosphoesteras...(PF12850)	10227
Trypsin-like peptidase domain(PF13365)	10200
Copper binding proteins, plasto...(PF00127)	10181
Glutamate synthase central doma...(PF04898)	10163
Pyridoxal phosphate biosynthesi...(PF03740)	10132
haloacid dehalogenase-like hydr...(PF00702)	10112
Porphobilinogen deaminase, dipy...(PF01379)	10100
ATP-grasp domain(PF08442)	10092
Peptidase family M23(PF01551)	10085
Adenylate kinase(PF00406)	10069
AAA domain (dynein-related subf...(PF07728)	10059
ATP synthase alpha/beta chain, ...(PF00306)	10044
4Fe-4S dicluster domain(PF13247)	10044
Shikimate / quinate 5-dehydroge...(PF01488)	10035
2-oxoacid dehydrogenases acyltr...(PF00198)	10018
Mur ligase family, catalytic do...(PF01225)	9974
Transglycosylase SLT domain(PF13406)	9948
Fumarylacetoacetate (FAA) hydro...(PF01557)	9933
Quinolinate phosphoribosyl tran...(PF01729)	9932
S-adenosylmethionine synthetase...(PF02772)	9928
Peptidase family M41(PF01434)	9923
Envelope glycoprotein GP120(PF00516)	9892
PHP domain(PF02811)	9887
Cytochrome b(C-terminal)/b6/pet...(PF00032)	9852
lactate/malate dehydrogenase, N...(PF00056)	9835
Diaminopimelate epimerase(PF01678)	9832
B12 binding domain(PF02310)	9829
Respiratory-chain NADH dehydrog...(PF01512)	9796
2Fe-2S iron-sulfur cluster bind...(PF00111)	9775
E1-E2 ATPase(PF00122)	9771
Bacterial extracellular solute-...(PF00497)	9736
Phosphoglucomutase/phosphomanno...(PF02880)	9627
Peptide methionine sulfoxide re...(PF01625)	9607
Ribulose-phosphate 3 epimerase ...(PF00834)	9585
Glycyl-tRNA synthetase alpha su...(PF02091)	9579
Ribonuclease E/G family(PF10150)	9576
SecA DEAD-like domain(PF07517)	9567
Voltage gated chloride channel(PF00654)	9554
Thiamine pyrophosphate enzyme, ...(PF00205)	9529
tRNA (Uracil-5-)-methyltransfer...(PF05958)	9524
DnaJ domain(PF00226)	9476
Phosphoenolpyruvate phosphomuta...(PF13714)	9450
Xylose isomerase-like TIM barre...(PF01261)	9421
Cation efflux family(PF01545)	9412
Phosphoglucomutase/phosphomanno...(PF02879)	9399
Hsp20/alpha crystallin family(PF00011)	9396
DeoC/LacD family aldolase(PF01791)	9363
Ribonuclease HII(PF01351)	9322
lactate/malate dehydrogenase, a...(PF02866)	9282
Thiamine monophosphate synthase...(PF02581)	9280
AAA domain(PF13614)	9270
PD-(D/E)XK nuclease superfamily...(PF12705)	9246
3,4-dihydroxy-2-butanone 4-phos...(PF00926)	9226
Fatty acid synthesis protein(PF02504)	9206
1-deoxy-D-xylulose-5-phosphate ...(PF13292)	9175
Sigma-54 interaction domain(PF00158)	9169
Putative undecaprenyl diphospha...(PF01255)	9167
ATP-grasp domain(PF02222)	9149
NAD binding domain of 6-phospho...(PF03446)	9147
DNA polymerase family B(PF00136)	9142
AsnC family(PF01037)	9108
Ribose 5-phosphate isomerase A ...(PF06026)	9094
Phosphotransferase enzyme famil...(PF01636)	9064
FtsX-like permease family(PF02687)	9035
Thioredoxin(PF00085)	9030
Uracil DNA glycosylase superfam...(PF03167)	9024
Deoxyhypusine synthase(PF01916)	9010
Ribosome recycling factor(PF01765)	8993
von Willebrand factor type A do...(PF13519)	8989
Ham1 family(PF01725)	8989
NAD(P) transhydrogenase beta su...(PF02233)	8987
Pyridoxal-dependent decarboxyla...(PF02784)	8965
Hsp90 protein(PF00183)	8856
5'-3' exonuclease, N-terminal r...(PF02739)	8846
Glutamine amidotransferase doma...(PF13522)	8835
Phosphorylase superfamily(PF01048)	8832
ubiE/COQ5 methyltransferase fam...(PF01209)	8814
Acetohydroxy acid isomeroreduct...(PF01450)	8810
Phosphofructokinase(PF00365)	8787
DNA / pantothenate metabolism f...(PF04127)	8763
ArgJ family(PF01960)	8758
Ribosomal protein L13(PF00572)	8731
PQQ-like domain(PF13360)	8721
Phosphoribosyl synthetase-assoc...(PF14572)	8671
Resolvase, N terminal domain(PF00239)	8662
3-hydroxyacyl-CoA dehydrogenase...(PF02737)	8655
Holliday junction DNA helicase ...(PF05496)	8651
Iron-containing alcohol dehydro...(PF00465)	8635
S-adenosylmethionine synthetase...(PF02773)	8607
LysR substrate binding domain(PF03466)	8602
Gamma-glutamyltranspeptidase(PF01019)	8592
NeuB family(PF03102)	8589
Ribosomal protein S12/S23(PF00164)	8585
DNA methylase(PF01555)	8578
Nickel-dependent hydrogenase(PF00374)	8573
ATP:corrinoid adenosyltransfera...(PF02572)	8565
Oxidoreductase NAD-binding doma...(PF00175)	8556
tRNA-splicing ligase RtcB(PF01139)	8546
PP-loop family(PF01171)	8512
MoaC family(PF01967)	8494
RNA polymerase beta subunit(PF04563)	8472
GGDEF domain(PF00990)	8469
haloacid dehalogenase-like hydr...(PF12710)	8431
ATP synthase A chain(PF00119)	8430
Pyridoxal phosphate biosyntheti...(PF04166)	8419
Thymidylate synthase complement...(PF02511)	8401
NifU-like N terminal domain(PF01592)	8375
Major intrinsic protein(PF00230)	8369
Glutamate-cysteine ligase (PF04262)	8333
Dehydrogenase E1 component(PF00676)	8317
Phosphomethylpyrimidine kinase(PF08543)	8311
His Kinase A (phospho-acceptor)...(PF00512)	8309
Ribosomal protein S7p/S5e(PF00177)	8301
ERF superfamily(PF04404)	8289
Homoserine O-succinyltransferas...(PF04204)	8244
Putative metallopeptidase domai...(PF13203)	8235
MraW methylase family(PF01795)	8222
60Kd inner membrane protein(PF02096)	8214
5'-nucleotidase, C-terminal dom...(PF02872)	8149
3' exoribonuclease family, doma...(PF03725)	8124
DNA gyrase B(PF00204)	8081
OB-fold nucleic acid binding do...(PF01336)	8079
Fumarate hydratase (Fumerase)(PF05681)	8066
Transposase(PF01527)	8062
Protein of unknown function DUF...(PF01865)	8048
impB/mucB/samB family(PF00817)	8037
NADH-Ubiquinone oxidoreductase ...(PF00662)	8024
PCRF domain(PF03462)	8010
Sigma-70 region 2 (PF04542)	7995
PEP-utilising enzyme, TIM barre...(PF02896)	7980
Tetratricopeptide repeat(PF13424)	7962
C-5 cytosine-specific DNA methy...(PF00145)	7906
NADH-ubiquinone/plastoquinone o...(PF00420)	7883
Taurine catabolism dioxygenase ...(PF02668)	7882
tRNA synthetases class I (E and...(PF03950)	7880
3-hydroxyacyl-CoA dehydrogenase...(PF00725)	7880
Toprim domain(PF13662)	7874
Survival protein SurE(PF01975)	7848
Iron-sulphur cluster biosynthes...(PF01521)	7837
Protein of unknown function (DU...(PF07583)	7830
Orotidine 5'-phosphate decarbox...(PF00215)	7801
PDZ domain(PF13180)	7789
Lon protease (S16) C-terminal p...(PF05362)	7778
SecA Wing and Scaffold domain(PF07516)	7772
ArgK protein(PF03308)	7766
Tetrahydrofolate dehydrogenase/...(PF00763)	7757
Putative tRNA binding domain(PF01588)	7749
Protein of unknown function (DU...(PF07587)	7730
Vitamin B12 dependent methionin...(PF02965)	7724
HIT domain(PF01230)	7707
Bacitracin resistance protein B...(PF02673)	7662
Leucine Rich repeats (2 copies)...(PF12799)	7656
Carbamoyltransferase(PF02543)	7637
tRNA synthetases class II core ...(PF01409)	7637
Leucyl-tRNA synthetase, Domain ...(PF13603)	7607
AAA domain(PF13238)	7607
Peroxidase(PF00141)	7591
Pantoate-beta-alanine ligase(PF02569)	7573
ATP phosphoribosyltransferase(PF01634)	7549
DsrC like protein(PF04358)	7548
Tetraacyldisaccharide-1-P 4'-ki...(PF02606)	7545
Cytochrome c(PF00034)	7524
Ribosomal protein L16p/L10e(PF00252)	7501
MGS-like domain(PF02142)	7460
Protein of unknown function (DU...(PF10977)	7448
Glycine cleavage T-protein C-te...(PF08669)	7436
haloacid dehalogenase-like hydr...(PF08282)	7433
Histidine phosphatase superfami...(PF00300)	7430
Homoserine dehydrogenase(PF00742)	7422
Bacterial extracellular solute-...(PF03480)	7419
Methylenetetrahydrofolate reduc...(PF02219)	7419
MotA/TolQ/ExbB proton channel f...(PF01618)	7413
Thiamine biosynthesis protein (...(PF02568)	7406
ACT domain(PF01842)	7404
Radical SAM N-terminal(PF08497)	7403
Elongation Factor G, domain II(PF14492)	7403
Oxidoreductase FAD-binding doma...(PF00970)	7396
RNase H(PF00075)	7389
N-terminal domain of ribose pho...(PF13793)	7373
Transposase DDE domain(PF01609)	7336
TrkA-N domain(PF02254)	7336
SNARE associated Golgi protein(PF09335)	7334
Phytanoyl-CoA dioxygenase (PhyH...(PF05721)	7321
Transglycosylase SLT domain(PF01464)	7309
Ferrochelatase(PF00762)	7299
Ribosomal RNA adenine dimethyla...(PF00398)	7296
Fructose-bisphosphate aldolase ...(PF01116)	7295
FabA-like domain(PF07977)	7290
tRNA pseudouridine synthase(PF01416)	7281
Cobalamin-independent synthase,...(PF01717)	7269
Glutamate/Leucine/Phenylalanine...(PF00208)	7264
Pyruvate phosphate dikinase, PE...(PF01326)	7260
Peptidase family S41(PF03572)	7252
Periplasmic binding protein(PF01497)	7250
1-deoxy-D-xylulose 5-phosphate ...(PF02670)	7249
GatB domain(PF02637)	7217
IPP transferase(PF01715)	7208
Elongation factor Tu C-terminal...(PF03143)	7183
HD domain(PF13328)	7180
Uncharacterized protein family ...(PF00919)	7165
Nitroreductase family(PF00881)	7165
Alanine dehydrogenase/PNT, N-te...(PF05222)	7165
Ribosomal protein S2(PF00318)	7160
3-dehydroquinate synthase(PF01761)	7136
Peptidase M16 inactive domain(PF05193)	7135
Queuosine biosynthesis protein ...(PF06508)	7123
Cytochrome C biogenesis protein...(PF13386)	7111
B3/4 domain(PF03483)	7108
RmuC family(PF02646)	7078
Insulinase (Peptidase family M1...(PF00675)	7058
RNA methyltransferase(PF04452)	7019
D-ala D-ala ligase C-terminus(PF07478)	7008
Indole-3-glycerol phosphate syn...(PF00218)	7006
Inhibitor of apoptosis-promotin...(PF01027)	7001
Integrase core domain(PF13683)	7000
Elongation factor G, domain IV(PF03764)	6992
Acetohydroxy acid isomeroreduct...(PF07991)	6972
Biotin/lipoate A/B protein liga...(PF03099)	6970
Uncharacterised protein family ...(PF01933)	6960
ATP synthase(PF00231)	6951
Histidine kinase-, DNA gyrase B...(PF13589)	6945
Concanavalin A-like lectin/gluc...(PF13385)	6937
Phosphoadenosine phosphosulfate...(PF01507)	6931
Ribosomal protein L1p/L10e fami...(PF00687)	6921
Phosphatidylserine decarboxylas...(PF02666)	6914
CobW/HypB/UreG, nucleotide-bind...(PF02492)	6888
Exonuclease VII, large subunit(PF02601)	6872
D-alanyl-D-alanine carboxypepti...(PF00768)	6863
Glyoxalase/Bleomycin resistance...(PF00903)	6854
Prephenate dehydrogenase(PF02153)	6854
Helix-hairpin-helix domain(PF14520)	6827
Polypeptide deformylase(PF01327)	6801
Periplasmic binding protein(PF13458)	6798
SelR domain(PF01641)	6793
Cytochrome C oxidase subunit II...(PF00116)	6778
Myo-inositol-1-phosphate syntha...(PF07994)	6753
AAA domain(PF13481)	6747
Pyruvate flavodoxin/ferredoxin ...(PF01855)	6739
Rhomboid family(PF01694)	6737
HpcH/HpaI aldolase/citrate lyas...(PF03328)	6736
Oligopeptide/dipeptide transpor...(PF08352)	6732
S-adenosylmethionine synthetase...(PF00438)	6724
tRNA (Guanine-1)-methyltransfer...(PF01746)	6716
Leucine rich repeats (6 copies)...(PF13306)	6696
5'-3' exonuclease, C-terminal S...(PF01367)	6675
Prolyl oligopeptidase family(PF00326)	6656
Enolase, N-terminal domain(PF03952)	6646
Pyrroline-5-carboxylate reducta...(PF14748)	6633
DsrE/DsrF-like family(PF02635)	6622
ParA/MinD ATPase like(PF10609)	6591
ATP synthase alpha/beta family,...(PF02874)	6589
Hydroxymethylglutaryl-coenzyme ...(PF00368)	6581
Alanine racemase, C-terminal do...(PF00842)	6538
Ribosomal protein S9/S16(PF00380)	6535
Signal peptide binding domain(PF02978)	6518
Carbamoyl-phosphate synthase sm...(PF00988)	6503
Microvirus J protein(PF04726)	6491
Dihydroprymidine dehydrogenase ...(PF14691)	6486
Protein of unknown function (DU...(PF08003)	6474
Acetyltransferase (GNAT) family...(PF00583)	6422
Glyceraldehyde 3-phosphate dehy...(PF00044)	6413
Phosphoribosyltransferase(PF02277)	6400
Lumazine binding domain(PF00677)	6392
