#frequency	superkingdom	phylum	class	order	family	genus
0.036704479670891375	undef	undef	undef	undef	undef	undef		
1.23169394868763e-05	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	Unknown		
0.002857529960955302	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.001958393378413332	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
8.621857640813411e-05	Archaea	Thaumarchaeota	Marine Group I	Unknown	Unknown	Unknown		
0.009052950522854082	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169 marine group		
0.003153136508640333	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0002586557292244023	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus		
4.92677579475052e-05	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus		
0.000739016369212578	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus		
0.0025619234132702707	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Candidatus Pelagibacter		
0.00017243715281626821	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus		
0.0028944807794159307	Bacteria	Proteobacteria	ARKICE-90	Unknown	Unknown	Unknown		
0.0042616610624592	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.003941420635800416	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.000246338789737526	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured		
0.00032024042665878383	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169 marine group		
9.85355158950104e-05	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.00011085245538188671	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus		
0.0007020655507519491	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OCS155 marine group	Unknown		
0.0002832896081981549	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	Unknown		
0.002414120139427755	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Candidatus Pelagibacter		
1.23169394868763e-05	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus		
0.00359654633016788	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
1.23169394868763e-05	Bacteria	Cyanobacteria	Chloroplast	Unknown	Unknown	Unknown		
7.390163692125781e-05	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.00014780327384251562	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Sufflavibacter		
0.00123169394868763	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.002081562773282095	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0033378906009434777	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.00014780327384251562	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	Unknown		
0.00029560654768503124	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	NS4 marine group		
0.0008006010666469596	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.00016012021332939192	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Sufflavibacter		
0.0011208414933057433	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0006404808533175677	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OCS155 marine group	Unknown		
0.0001970710317900208	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus		
7.390163692125781e-05	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus		
0.0011208414933057433	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.00013548633435563932	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.004914458855263644	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 2	Unknown		
0.003079234871719075	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
3.6950818460628905e-05	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus		
0.0021061966522558473	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0012070600697138775	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0023771693209671263	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Chesapeake-Delaware Bay	Unknown		
0.0018968086809789504	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured		
0.0021924152286639815	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0022170491076377342	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.00027097266871127865	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured		
1.23169394868763e-05	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria	Unknown		
0.0006527977928044439	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus		
0.001514983556885785	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	Unknown		
2.46338789737526e-05	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.0017243715281626821	Bacteria	Chloroflexi	SAR202 clade	Unknown	Unknown	Unknown		
0.002648141989678405	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0024387540184015078	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum		
0.002672775868652157	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 4	Unknown		
0.0017490054071364347	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	Unknown		
0.0034241091773516115	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured		
0.0015396174358595375	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group III	Unknown		
0.00035719124511941275	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus		
0.002500338715835889	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
3.6950818460628905e-05	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	Unknown	Unknown		
0.00013548633435563932	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas		
0.0018229070440576925	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Candidatus Pelagibacter		
0.00040645900306691794	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OCS155 marine group	Unknown		
0.004347879638867334	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 2	Unknown		
0.00027097266871127865	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marinoscillum		
0.0037443496040103956	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0009730382194632278	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.0019091256204658267	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 4	Unknown		
0.00014780327384251562	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas		
0.0031654534481272093	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 2	Unknown		
0.0006897486112650729	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	Unknown		
0.0024018031999408786	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0015026666173989086	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0017490054071364347	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0003079234871719075	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus		
0.00035719124511941275	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.004692753944499871	Bacteria	Chloroflexi	SAR202 clade	Unknown	Unknown	Unknown		
4.92677579475052e-05	Bacteria	Cyanobacteria	Chloroplast	Unknown	Unknown	Unknown		
0.0002586557292244023	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	Unknown		
0.0012932786461220115	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
9.85355158950104e-05	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus		
0.002340218502506497	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0018598578625183214	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.00027097266871127865	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116 clade	Unknown		
0.0007882841271600832	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	Unknown	Unknown		
0.0010099890379238567	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	Unknown		
1.23169394868763e-05	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Oceanobacter		
0.003953737575287292	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 2	Unknown		
0.0002586557292244023	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.002155464410203353	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.002081562773282095	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	uncultured	Unknown		
7.390163692125781e-05	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	Unknown		
0.0008745027035682173	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	Unknown		
0.00179827316508394	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.0029930162953109413	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	Unknown		
0.0018105901045708161	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.00022170491076377343	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.000739016369212578	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
8.621857640813411e-05	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OCS155 marine group	Unknown		
0.0015273004963726614	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
1.23169394868763e-05	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Marine Group II	Unknown		
0.0010592567958713618	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	NS4 marine group		
0.0006897486112650729	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.0015642513148332903	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.0002586557292244023	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus		
1.23169394868763e-05	Archaea	Thaumarchaeota	Marine Group I	Unknown	Unknown	Unknown		
0.0007882841271600832	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OCS155 marine group	Unknown		
0.0007020655507519491	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0017736392861101874	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.001182426190740125	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Oceanobacter		
0.000123169394868763	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0010099890379238567	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.00014780327384251562	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured		
0.0013671802830432693	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Candidatus Pelagibacter		
0.00014780327384251562	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	Unknown	Unknown		
0.0015765682543201665	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 3	Unknown		
0.0002832896081981549	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus		
9.85355158950104e-05	Bacteria	Cyanobacteria	Chloroplast	Unknown	Unknown	Unknown		
0.002155464410203353	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.0008129180061338359	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.00246338789737526	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0019460764389264557	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.001022305977410733	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0012563278276613828	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OCS155 marine group	Unknown		
9.85355158950104e-05	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255 marine benthic group	Unknown		
0.000369508184606289	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	Unknown		
0.0002832896081981549	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	Unknown		
0.00040645900306691794	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	Unknown	Unknown		
4.92677579475052e-05	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116 clade	Unknown	Unknown		
0.001835223983544569	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.001428764980477651	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	NS5 marine group		
0.0018721748020051978	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
0.004520316791683602	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	Unknown		
0.001268644767148259	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	Unknown		
1.23169394868763e-05	Bacteria	Cyanobacteria	Chloroplast	Unknown	Unknown	Unknown		
0.0016627868307283007	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 4	Unknown		
0.0013794972225301457	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	Unknown		
0.00011085245538188671	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116 clade	Unknown	Unknown		
0.00032024042665878383	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116 clade	Unknown		
0.00089913658254197	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.004372513517841087	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116 clade	Unknown		
0.0005049945189619284	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.002783628324034044	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.00045572676101442313	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116 clade	Unknown	Unknown		
0.0016258360122676718	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116 clade	Unknown		
0.0036088632696547563	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	Unknown		
0.001022305977410733	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	NS5 marine group		
0.00038182512409316535	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus		
0.0015888851938070428	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169 marine group		
0.00016012021332939192	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.000615846974343815	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Candidatus Pelagibacter		
0.0004803606399881757	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0011208414933057433	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	SAR406 clade(Marine group A)	Unknown		
0.00044340982152754686	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.0021924152286639815	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0016874207097020532	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 4	Unknown		
2.46338789737526e-05	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
1.23169394868763e-05	Archaea	Thaumarchaeota	Marine Group I	Unknown	Unknown	Unknown		
0.0003079234871719075	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.000739016369212578	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.000615846974343815	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured		
0.0006527977928044439	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Surface 1	Unknown		
0.0009730382194632278	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Prochlorococcus		
0.0007882841271600832	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Unknown	Unknown		
0.00035719124511941275	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	Unknown		
0.00016012021332939192	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Sufflavibacter		
0.00011085245538188671	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86 clade	Unknown		
0.00016012021332939192	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas		
1.23169394868763e-05	Bacteria	Cyanobacteria	Chloroplast	Unknown	Unknown	Unknown		
0.0006035300348569387	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	NS5 marine group		
0.0006774316717781966	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	NS4 marine group		
0.0002832896081981549	Bacteria	Proteobacteria	Gammaproteobacteria	Order Incertae Sedis	Family Incertae Sedis	Marinicella		
